feature,type,mutable,min,max
proto=udp,int,False,0,1
proto=tcp,int,False,0,1
proto=icmp,int,False,0,1
duration,real,True,0,503
orig_bytes,int,True,0,952
resp_bytes,int,True,0,164266
conn_state=S0,int,False,0,1
conn_state=SF,int,False,0,1
conn_state=other,int,False,0,1
missed_bytes,int,True,0,5792
history=D,int,False,0,1
history=Dd,int,False,0,1
history=S,int,False,0,1
history=other,int,False,0,1
orig_pkts,int,True,0,5110
orig_ip_bytes,int,True,0,204400
resp_pkts,int,True,0,184
resp_ip_bytes,int,True,0,168910
label,int,True,0,1
