feature,type,mutable,min,max
dur,real,TRUE,0,59.999989
proto_tcp,int,FALSE,0,1
proto_udp,int,FALSE,0,1
proto_other,int,FALSE,0,1
service_none,int,FALSE,0,1
service_http,int,FALSE,0,1
service_dns,int,FALSE,0,1
service_other,int,FALSE,0,1
state_FIN,int,FALSE,0,1
state_INT,int,FALSE,0,1
state_other,int,FALSE,0,1
sbytes,int,TRUE,46,10508068
dbytes,int,TRUE,0,7085342
rate,int,TRUE,0,1000000.003
sloss,int,TRUE,0,3993
dloss,int,TRUE,0,2627
sjit,real,TRUE,0,1460480.016
djit,real,TRUE,0,199572.8686
swin,int,TRUE,0,255
stcpb,int,TRUE,0,4294729542
dtcpb,int,TRUE,0,4294383134
dwin,int,TRUE,0,255
smean,int,TRUE,28,1499
dmean,int,TRUE,0,1458
trans_depth,int,TRUE,0,2
ct_srv_src,int,TRUE,1,63
ct_dst_ltm,int,TRUE,1,50
ct_src_dport_ltm,int,TRUE,1,50
ct_dst_sport_ltm,int,TRUE,1,46
ct_dst_src_ltm,int,TRUE,1,63
ct_src_ltm,int,TRUE,1,50
ct_srv_dst,int,TRUE,1,62
label,int,TRUE,0,1
