feature,type,mutable,min,max
dur,real,True,0,60
proto_tcp,int,False,0,1
proto_udp,int,False,0,1
proto_other,int,False,0,1
service_none,int,False,0,1
service_http,int,False,0,1
service_dns,int,False,0,1
service_other,int,False,0,1
state_FIN,int,False,0,1
state_INT,int,False,0,1
state_other,int,False,0,1
sbytes,int,True,0,10508068
dbytes,int,True,0, 7085342
rate,real,True,0,1000000.003
sloss,int,True,0, 3993
dloss,int,True,0, 2627
sjit,real,True,0, 1460480.016
djit,real,True,0, 199572.8686
swin,int,True,0, 255.0
stcpb,int,True,0, 4294729542
dtcpb,int,True,0, 4294383134
dwin,int,True,0, 255.0
smean,int,True,0, 1499
dmean,int,True,0, 1458
trans_depth,real,True,0, 2.0
ct_srv_src,int,True,1, 63
ct_dst_ltm,int,True,1, 50
ct_src_dport_ltm,int,True,1, 50
ct_dst_sport_ltm,int,True,1, 46
ct_dst_src_ltm,int,True,1, 63
ct_src_ltm,int,True,1,50
ct_srv_dst,int,True,1,62
