proto=udp,proto=tcp,proto=icmp,duration,orig_bytes,resp_bytes,conn_st=S0,conn_st=SF,conn_st=other,missed_bytes,history=D,history=Dd,history=S,history=other,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000196,0,0,0
1,0,0,0.000144,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000005,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000372,0,0,0
1,0,0,0.000003,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000004,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000196,0,0,0
1,0,0,0.000009,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000003,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000196,0,0,0
0,0,1,,,,0,0,1,0,,,,,0.000196,0.000333,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000196,0,0,0
1,0,0,0.000004,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000003,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000005,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000196,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000372,0,0,0
1,0,0,0.000003,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000025,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.009949,0.081933,0,1,0,0,0,1,0,0,0,0.000391,0.000656,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000372,0,0,0
1,0,0,0.000009,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000003,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000372,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000372,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000196,0,0,0
1,0,0,0.000005,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000196,0,0,0
1,0,0,0.000003,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000196,0,0,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000372,0,0,0
1,0,0,0.009954,0.163866,0,1,0,0,0,1,0,0,0,0.000783,0.001311,0,0,0
1,0,0,0.000024,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000055,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000002,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000372,0,0,0
1,0,0,0.000004,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000011,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,,,,1,0,0,0,1,0,0,0,0.000196,0.000372,0,0,0
0,1,0,,,,1,0,0,0,0,0,1,0,0.000196,0.000294,0,0,0
1,0,0,0.000095,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
1,0,0,0.000003,0.05042,0.000292,0,1,0,0,0,1,0,0,0.000196,0.000372,0.005435,0.00045,0
