loan_amnt,term,int_rate,installment,grade,emp_length,annual_inc,issue_d,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,fico_score,initial_list_status_w,'application_type_Joint App',ratio_loan_amnt_annual_inc,ratio_open_acc_total_acc,diff_issue_d_earliest_cr_line,ratio_pub_rec_diff_issue_d_earliest_cr_line,ratio_pub_rec_bankruptcies_diff_issue_d_earliest_cr_line,ratio_pub_rec_bankruptcies_pub_rec,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not_Verified,verification_status_Source_Verified,verification_status_Verified,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,class
18000,60,14.33,421.92,3,10,126250,201212,9.55,198511,7,1,19026,84.9,20,5,1,692,0,0,0.142574,0.35,325,0.003077,0.003077,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14000,60,18.49,359.26,4,5,45000,201512,17.44,200506,9,0,4695,35.6,13,0,0,667,1,0,0.311111,0.692308,126,0,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7000,36,9.67,224.79,2,10,40000,201401,23.19,198912,11,2,4479,29.5,20,4,1,707,1,0,0.175,0.55,289,0.00692,0.00346,0.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9000,36,11.53,296.92,2,2,75000,201510,1.26,200610,6,0,3727,12.7,7,0,0,757,1,0,0.12,0.857143,108,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6000,36,10.99,196.41,2,10,67000,201507,29.27,199309,13,0,8869,52.8,30,2,0,677,0,0,0.089552,0.433333,262,0,0,-1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3000,36,14.33,103.02,3,0,23000,201303,25.88,200312,5,0,95,4.3,10,0,0,712,0,0,0.130435,0.5,111,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4000,36,18.25,145.12,4,1,20000,201604,17.59,200307,4,0,186,12.4,17,1,0,697,1,0,0.2,0.235294,153,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20000,36,5.32,602.3,1,2,94000,201505,9.99,201104,10,0,19043,21.6,10,1,0,737,0,0,0.212766,1,49,0,0,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12000,36,10.99,392.81,2,1,105000,201507,15.77,199902,3,0,5353,48.7,20,5,0,717,0,0,0.114286,0.15,197,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27675,36,7.9,865.96,1,5,167000,201311,13.11,199807,11,0,98022,73.1,27,2,0,742,0,0,0.165719,0.407407,184,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11000,36,7.39,341.62,1,0,45000,201603,24.88,200701,6,0,9209,44.9,10,0,0,732,0,0,0.244444,0.6,110,0,0,-1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,36,9.17,318.79,2,10,85197,201410,3.07,199603,8,0,10245,28.8,20,0,0,757,1,0,0.117375,0.4,223,0,0,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5500,36,6.03,167.4,1,10,110000,201309,1.7,199710,11,0,5682,7.2,27,7,0,797,0,0,0.05,0.407407,191,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28000,60,13.18,639.67,3,10,280000,201512,7.13,199102,14,0,16568,28,27,3,0,677,1,0,0.1,0.518519,298,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8400,36,13.49,285.02,3,2,35000,201606,19.92,200412,11,1,2871,26.8,15,0,1,682,0,0,0.24,0.733333,138,0.007246,0.007246,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30000,36,6.68,921.93,1,4,300000,201504,10.19,200008,20,0,6795,16.8,36,8,0,762,1,0,0.1,0.555556,176,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000,36,7.49,622.04,1,9,125000,201512,16.42,198709,13,0,29772,75.9,27,1,0,692,1,0,0.16,0.481481,339,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5000,36,13.67,170.09,3,3,88000,201512,12.31,200505,8,1,4822,32.1,22,2,1,677,1,0,0.056818,0.363636,127,0.007874,0.007874,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10000,36,15.04,346.85,3,10,45000,201803,33.39,200511,13,1,13277,41.9,33,0,1,677,1,1,0.222222,0.393939,148,0.006757,0.006757,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6000,36,8.18,188.52,2,5,50000,201504,18.24,200305,6,0,14283,92.1,7,0,0,682,1,0,0.12,0.857143,143,0,0,-1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15000,36,18.2,543.8,5,10,50000,201512,4.49,200403,10,0,4312,31.2,14,0,0,662,0,0,0.3,0.714286,141,0,0,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
