dur,proto_tcp,proto_udp,proto_other,service_none,service_http,service_dns,service_other,state_FIN,state_INT,state_other,sbytes,dbytes,rate,sloss,dloss,sjit,djit,swin,stcpb,dtcpb,dwin,smean,dmean,trans_depth,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,label
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.25,0,0,0,0,0,0,0,0,0.048946,0,0,0.032258,0.020408,0.020408,0.022222,0.032258,0.020408,0.032787,1
0.99164,0,0,1,1,0,0,0,0,0,1,0.001911,0,0.000001,0,0,0.000684,0,0,0,0,0,0.165874,0,0,0,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,1,0,0.000191,0,0.166667,0,0,0,0,0,0,0,0,0.680489,0,0,0.048387,0,0,0,0.048387,0,0.04918,1
0.011276,1,0,0,1,0,0,0,1,0,0,0.000049,0.00005,0.000025,0.000501,0.000381,0.0038,0.000673,1,0.351423,0.159202,1,0.019035,0.030178,0,0.032258,0,0,0,0,0,0,1
0.018667,0,0,1,1,0,0,0,0,1,0,0.000283,0,0.000024,0,0,0.000032,0,0,0,0,0,0.054385,0,0,0,0,0,0,0,0,0,1
0.004466,1,0,0,0,1,0,0,1,0,0,0.000077,0.000251,0.000063,0.000501,0.000761,0.001002,0.000269,1,0.065789,0.105376,1,0.039429,0.152263,0.5,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.166667,0,0,0,0,0,0,0,0,0.048946,0,0,0.032258,0.040816,0.040816,0.044444,0.032258,0.061224,0.032787,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.142857,0,0,0,0,0,0,0,0,0.019714,0,0,0.241935,0.306122,0.306122,0.333333,0.241935,0.306122,0.245902,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.435484,0.346939,0.346939,0.377778,0.435484,0.367347,0.442623,1
0.074333,1,0,0,0,0,0,1,1,0,0,0.003916,0.000265,0.000016,0.005259,0.003045,0.00586,0.001624,1,0.105223,0.007014,1,0.541128,0.053498,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,1,0,0,0,0,0,0,0,0,0.019714,0,0,0.33871,0.326531,0.326531,0.355556,0.33871,0.326531,0.344262,1
0.03458,1,0,0,0,0,0,1,1,0,0,0.000086,0.000108,0.000013,0.001002,0.001523,0.006172,0.000999,1,0.98374,0.714182,1,0.027192,0.037723,0,0.016129,0,0,0,0.016129,0,0.016393,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.032258,0.020408,0.020408,0.022222,0.032258,0.061224,0.032787,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.112903,0.142857,0.142857,0.155556,0.112903,0.142857,0.114754,1
0.015401,1,0,0,0,1,0,0,1,0,0,0.000137,0.00005,0.000018,0.000501,0.000381,0.004128,0.000976,1,0.137343,0.014053,1,0.081577,0.030178,0.5,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.064516,0.081633,0.081633,0.088889,0.064516,0.102041,0.065574,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.274194,0.346939,0.346939,0.155556,0.274194,0.346939,0.278689,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.451613,0.346939,0.346939,0.377778,0.451613,0.387755,0.459016,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.25,0,0,0,0,0,0,0,0,0.019714,0,0,0.403226,0.510204,0.510204,0.266667,0.403226,0.510204,0.409836,1
0.02168,1,0,0,1,0,0,0,1,0,0,0.000097,0.000111,0.000016,0.001002,0.000761,0.279524,0.067166,1,0.879427,0.656194,1,0.041468,0.054184,0,0.080645,0.040816,0.061224,0.044444,0.048387,0.061224,0.04918,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.25,0,0,0,0,0,0,0,0,0.048946,0,0,0.048387,0.020408,0.020408,0.022222,0.048387,0.387755,0.04918,1
0.013511,1,0,0,1,0,0,0,1,0,0,0.000046,0.000038,0.000019,0.000501,0.000381,0.003262,0.001038,1,0.468624,0.143353,1,0.016995,0.030864,0,0.064516,0.102041,0,0,0.016129,0.040816,0.147541,1
0.011012,1,0,0,0,1,0,0,1,0,0,0.000076,0.000569,0.000032,0.000501,0.001142,0.003076,0.01936,1,0.747762,0.145867,1,0.038069,0.230453,0.5,0.016129,0.020408,0.020408,0.022222,0.016129,0.020408,0.016393,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.111111,0,0,0,0,0,0,0,0,0.048946,0,0,0.096774,0.061224,0.061224,0.066667,0.177419,0.061224,0.098361,1
0,0,1,0,0,0,1,0,0,1,0,0.000006,0,0.111111,0,0,0,0,0,0,0,0,0.019714,0,0,0.483871,0.387755,0.387755,0.2,0.483871,0.387755,0.491803,1
0.013031,1,0,0,1,0,0,0,1,0,0,0.000077,0.000038,0.000019,0.000501,0.000381,0.002647,0.000882,1,0.391889,0.422129,1,0.038749,0.030864,0,0.080645,0.020408,0.040816,0.022222,0.048387,0.040816,0.065574,1
0,0,0,1,1,0,0,0,0,1,0,0.000015,0,0.25,0,0,0,0,0,0,0,0,0.048946,0,0,0.177419,0.040816,0.020408,0.022222,0.241935,0.040816,0.180328,1
0,0,1,0,1,0,0,0,0,1,0,0.000012,0,0.2,0,0,0,0,0,0,0,0,0.038069,0,0,0,0,0,0,0,0,0,1
