  classifier    exp-name   attack  accuracy  evades  valid
Neural Network  IoT-23     CPGD        97.7    50.2    0.0
Neural Network  IoT-23     VHSJ        97.7     0.0    0.0
Neural Network  IoT-23     VPGD        97.7    50.1   50.1
Neural Network  IoT-23     VZoo        97.7     3.0    3.0
Neural Network  LCLD       CPGD        64.1    38.8    0.0
Neural Network  LCLD       VHSJ        63.9    20.6   20.6
Neural Network  LCLD       VPGD        64.0    64.0   64.0
Neural Network  LCLD       VZoo        64.1    26.8   26.8
Neural Network  UNSW-NB15  CPGD        91.4    70.2   36.2
Neural Network  UNSW-NB15  VHSJ        91.6    52.6   52.6
Neural Network  UNSW-NB15  VPGD        91.4    91.4   91.4
Neural Network  UNSW-NB15  VZoo        91.8    86.2   86.2
Neural Network  URL        CPGD        95.6    53.7   22.8
Neural Network  URL        VHSJ        95.5    42.5   42.5
Neural Network  URL        VPGD        95.3    95.3   95.3
Neural Network  URL        VZoo        95.4    89.6   89.6
XGBoost         IoT-23     VHSJ        97.9    22.2   22.2
XGBoost         IoT-23     VZoo        97.9     5.0    5.0
XGBoost         LCLD       VHSJ        65.3    19.1   19.1
XGBoost         LCLD       VZoo        65.1    20.8   20.8
XGBoost         UNSW-NB15  VHSJ        93.7    60.4   60.4
XGBoost         UNSW-NB15  VZoo        93.7    71.3   71.3
XGBoost         URL        VHSJ        96.1    89.0   89.0
XGBoost         URL        VZoo        96.1    79.3   79.3
