  classifier    exp-name   attack  accuracy  evades  valid
Neural Network  IoT-23     CPGD        97.7    97.7   12.6
Neural Network  IoT-23     HSJ         97.7    50.0   12.2
Neural Network  IoT-23     PGD         97.7    50.0   10.5
Neural Network  IoT-23     Zoo         97.7    51.5   22.8
Neural Network  LCLD       CPGD        64.1    33.4    0.0
Neural Network  LCLD       HSJ         64.4    64.4    0.4
Neural Network  LCLD       PGD         64.2    64.1    0.0
Neural Network  LCLD       Zoo         64.3    61.0   33.5
Neural Network  UNSW-NB15  CPGD        91.6    65.5   39.1
Neural Network  UNSW-NB15  HSJ         91.9    91.3    0.5
Neural Network  UNSW-NB15  PGD         91.8    87.7    0.5
Neural Network  UNSW-NB15  Zoo         91.4    88.1   71.7
Neural Network  URL        CPGD        95.2    64.1   12.8
Neural Network  URL        HSJ         95.4    48.0   31.5
Neural Network  URL        PGD         95.5    71.3   28.0
Neural Network  URL        Zoo         95.3    92.0   87.1
XGBoost         IoT-23     HSJ         97.8    97.8   12.8
XGBoost         IoT-23     Zoo         97.7    96.2   51.3
XGBoost         LCLD       HSJ         65.3    65.3    0.3
XGBoost         LCLD       Zoo         65.3    65.3   33.3
XGBoost         UNSW-NB15  HSJ         93.8    93.6    0.4
XGBoost         UNSW-NB15  Zoo         93.7    80.8   72.4
XGBoost         URL        HSJ         96.1    96.1   76.7
XGBoost         URL        Zoo         96.2    96.0   80.1
